                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6134,                 1.7064,                 1.2613,                0.65566,                0.60529,                0.63102,                0.33072,                 1.5069,                 2.8377,                 1.4255,             0.00054304,             0.00054304,             0.00054304
                      2,                 1.5356,                 1.1957,                 1.2458,                0.21339,                0.46671,                 0.1774,                0.08395,                 2.2522,                 7.4887,                 3.2493,              0.0010878,              0.0010878,              0.0010878
                      3,                 1.5374,                 1.1973,                  1.256,                0.32261,                0.28306,                0.13508,                0.06176,                 2.3583,                 17.816,                 2.4519,              0.0016216,              0.0016216,              0.0016216
                      4,                 1.5392,                 1.1722,                 1.2534,                0.45766,                0.59201,                0.40254,                0.19613,                 2.1117,                 6.0988,                  2.267,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5079,                 1.1472,                  1.253,                0.74148,                0.69864,                0.75891,                0.44457,                 1.3108,                 1.5172,                 1.3821,              0.0016175,              0.0016175,              0.0016175
                      6,                 1.4456,                 1.0575,                 1.2237,                0.79321,                0.63293,                0.71087,                0.39735,                 1.5075,                  1.514,                 1.4694,               0.001601,               0.001601,               0.001601
                      7,                  1.412,                 1.0212,                 1.2081,                0.83957,                0.73951,                0.79784,                0.48422,                  1.261,                 1.3972,                 1.3008,              0.0015845,              0.0015845,              0.0015845
                      8,                  1.379,                0.96885,                 1.1871,                 0.7756,                0.70451,                0.76986,                0.46936,                  1.263,                 1.1327,                 1.3095,               0.001568,               0.001568,               0.001568
                      9,                 1.3346,                 0.9498,                 1.1752,                0.83389,                0.71653,                0.79097,                0.49451,                 1.2836,                 1.1568,                 1.3422,              0.0015515,              0.0015515,              0.0015515
                     10,                 1.3348,                0.91742,                 1.1558,                 0.8764,                0.80913,                0.87169,                0.54988,                 1.2313,                0.91524,                  1.285,               0.001535,               0.001535,               0.001535
                     11,                 1.3245,                0.90941,                 1.1596,                0.91152,                0.78476,                0.86899,                0.56912,                  1.166,                0.85692,                 1.2329,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.2998,                0.90286,                 1.1566,                0.87826,                0.78282,                0.84546,                0.53479,                   1.22,                0.91585,                 1.2682,               0.001502,               0.001502,               0.001502
                     13,                 1.2718,                 0.8634,                 1.1323,                0.87013,                0.72543,                0.81607,                 0.5004,                 1.2234,                  1.198,                 1.2644,              0.0014855,              0.0014855,              0.0014855
                     14,                 1.2562,                0.85779,                 1.1381,                0.89711,                0.81321,                0.87148,                0.56198,                 1.1392,                 0.7239,                 1.1957,               0.001469,               0.001469,               0.001469
                     15,                 1.2492,                0.83548,                 1.1199,                0.89767,                0.81658,                0.88781,                0.58883,                 1.1042,                0.65414,                 1.1947,              0.0014525,              0.0014525,              0.0014525
                     16,                 1.2436,                0.83022,                 1.1301,                0.84646,                0.72747,                0.79361,                0.51256,                 1.1907,                0.96596,                 1.2503,               0.001436,               0.001436,               0.001436
                     17,                 1.2213,                0.80397,                 1.1111,                0.90539,                 0.8189,                0.88528,                0.59227,                 1.0934,                  0.589,                  1.171,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.2048,                 0.7987,                 1.1024,                0.89233,                0.76963,                0.86726,                 0.5616,                 1.0954,                0.73718,                 1.1656,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.1878,                0.77582,                 1.0982,                0.85896,                0.81727,                 0.8431,                0.55738,                 1.1104,                0.80784,                 1.1889,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.2049,                0.78033,                 1.0947,                0.90923,                0.83749,                0.89418,                0.60378,                 1.0482,                0.59471,                 1.1502,              0.0013699,              0.0013699,              0.0013699
                     21,                 1.1829,                0.76116,                 1.0938,                0.87931,                0.82218,                0.88073,                0.60458,                 1.0513,                0.59896,                   1.16,              0.0013534,              0.0013534,              0.0013534
                     22,                 1.1689,                0.75879,                 1.0835,                0.89808,                0.80634,                0.87144,                0.59054,                   1.07,                0.59526,                 1.1701,              0.0013369,              0.0013369,              0.0013369
                     23,                 1.1584,                0.74881,                 1.0799,                0.91471,                0.84907,                0.90145,                0.61803,                 1.0288,                0.59483,                 1.1411,              0.0013204,              0.0013204,              0.0013204
